State,Bachelor
Alabama,22.6
Alaska,27.5
Arizona,26.9
Arkansas,20.1
California,30.7
Colorado,37
Connecticut,36.5
Delaware,28.9
Florida,26.4
Georgia,28
Hawaii,30.1
Idaho,25.1
Illinois,31.4
Indiana,23.2
Iowa,25.7
Kansas,30.3
Kentucky,21.5
Louisiana,21.8
Maine,27.9
Maryland,36.8
Massachusetts,39.4
Michigan,25.9
Minnesota,32.6
Mississippi,20.1
Missouri,26.2
Montana,28.7
Nebraska,28.5
Nevada,22.4
New Hampshire,33.7
New Jersey,35.8
New Mexico,25.8
New York,33.2
North Carolina,27.3
North Dakota,27.2
Ohio,25.2
Oklahoma,23.5
Oregon,29.7
Pennsylvania,27.5
Rhode Island,31.3
South Carolina,25.1
South Dakota,26.2
Tennessee,23.8
Texas,26.7
Utah,30.3
Vermont,34.8
Virginia,35.2
Washington,31.9
West Virginia,18.3
Wisconsin,26.8
Wyoming,24.7
