State,Total 
Alabama,"94,721"
Alaska,"10,000"
Arkansas,"59,558"
Arizona,"115,699"
California,"283,913"
Colorado,"60,171"
Connecticut,"39,950"
District of Columbia,"42,491"
Delaware,"3,832"
Florida,"187,763"
Georgia,"135,024"
Hawaii,"6,954"
Iowa,"18,439"
Idaho,"34,932"
Illinois,"117,373"
Indiana,"90,174"
Kansas,"30,323"
Kentucky,"55,670"
Louisiana,"63,602"
Massachusetts,"30,858"
Maryland,"86,869"
Maine,"11,253"
Michigan,"41,232"
Minnesota,"51,150"
Missouri,"48,318"
Mississippi,"18,705"
Montana,"10,364"
North Carolina,"105,506"
North Dakota,"6,285"
Nebraska,"13,096"
New Hampshire,"18,089"
New Jersey,"50,712"
New Mexico,"78,495"
Nevada,"51,524"
New York,"61,332"
Ohio,"128,523"
Oklahoma,"47,497"
Oregon,"42,857"
Pennsylvania,"216,370"
Rhode Island,"3,913"
South Carolina,"50,896"
South Dakota,"9,256"
Tennessee,"71,107"
Texas,"303,854"
Utah,"34,536"
Virginia,"233,718"
Vermont,"3,904"
Washington,"56,951"
Wisconsin,"43,059"
West Virginia,"16,172"
Wyoming,"113,375"
