State,Total
Alabama,"96,744"
Alaska,"11,167"
Arkansas,"62,527"
Arizona,"123,130"
California,"292,877"
Colorado,"63,178"
Connecticut,"40,740"
District of Columbia,"42,897"
Delaware,"3,907"
Florida,"199,828"
Georgia,"145,412"
Hawaii,"7,105"
Iowa,"18,880"
Idaho,"39,019"
Illinois,"118,295"
Indiana,"92,700"
Kansas,"31,926"
Kentucky,"59,240"
Louisiana,"69,668"
Massachusetts,"32,682"
Maryland,"88,732"
Maine,"11,509"
Michigan,"42,855"
Minnesota,"51,658"
Missouri,"51,550"
Mississippi,"20,389"
Montana,"11,461"
North Carolina,"109,388"
North Dakota,"6,863"
Nebraska,"13,864"
New Hampshire,"19,284"
New Jersey,"51,670"
New Mexico,"84,471"
Nevada,"54,436"
New York,"64,353"
Ohio,"131,990"
Oklahoma,"47,419"
Oregon,"44,811"
Pennsylvania,"191,189"
Rhode Island,"3,973"
South Carolina,"55,286"
South Dakota,"9,677"
Tennessee,"73,320"
Texas,"337,309"
Utah,"37,490"
Virginia,"248,939"
Vermont,"4,032"
Washington,"60,009"
Wisconsin,"44,705"
West Virginia,"17,429"
Wyoming,"114,052"
