Strate,Bachelor
Alabama,23.5
Alaska,28
Arizona,27.5
Arkansas,21.1
California,31.4
Colorado,38.1
Connecticut,37.6
Delaware,30
Florida,27.3
Georgia,28.8
Hawaii,30.8
Idaho,25.9
Illinois,32.3
Indiana,24.1
Iowa,26.7
Kansas,31
Kentucky,22.3
Louisiana,22.5
Maine,29
Maryland,37.9
Massachusetts,40.5
Michigan,26.9
Minnesota,33.7
Mississippi,20.7
Missouri,27.1
Montana,29.5
Nebraska,29.3
Nevada,23
New Hampshire,34.9
New Jersey,36.8
New Mexico,26.3
New York,34.2
North Carolina,28.4
North Dakota,27.7
Ohio,26.1
Oklahoma,24.1
Oregon,30.8
Pennsylvania,28.6
Rhode Island,31.9
South Carolina,25.8
South Dakota,27
Tennessee,24.9
Texas,27.6
Utah,31.1
Vermont,36
Virginia,36.3
Washington,32.9
West Virginia,19.2
Wisconsin,27.8
Wyoming,25.7
