Geoname,State Name,Population13,Population14,Population15,Population16,Population17
"Alabama, Alabama, East South Central, South, United States",Alabama,4833722,4849377,4858979,4863300,4874747
"Alaska, Alaska, Pacific, West, United States",Alaska,735132,736732,738432,741894,739795
"Arizona, Arizona, Mountain, West, United States",Arizona,6626624,6731484,6828065,6931071,7016270
"Arkansas, Arkansas, West South Central, South, United States",Arkansas,2959373,2966369,2978204,2988248,3004279
"California, California, Pacific, West, United States",California,38332521,38802500,39144818,39250017,39536653
"Colorado, Colorado, Mountain, West, United States",Colorado,5268367,5355866,5456574,5540545,5607154
"Connecticut, Connecticut, New England, Northeast, United States",Connecticut,3596080,3596677,3590886,3576452,3588184
"Delaware, Delaware, South Atlantic, South, United States",Delaware,925749,935614,945934,952065,961939
"District of Columbia, District of Columbia, South Atlantic, South, United States",District of Columbia,646449,658893,672228,681170,693972
"Florida, Florida, South Atlantic, South, United States",Florida,19552860,19893297,20271272,20612439,20984400
"Georgia, Georgia, South Atlantic, South, United States",Georgia,9992167,10097343,10214860,10310371,10429379
"Hawaii, Hawaii, Pacific, West, United States",Hawaii,1404054,1419561,1431603,1428557,1427538
"Idaho, Idaho, Mountain, West, United States",Idaho,1612136,1634464,1654930,1683140,1716943
"Illinois, Illinois, East North Central, Midwest, United States",Illinois,12882135,12880580,12859995,12801539,12802023
"Indiana, Indiana, East North Central, Midwest, United States",Indiana,6570902,6596855,6619680,6633053,6666818
"Iowa, Iowa, West North Central, Midwest, United States",Iowa,3090416,3107126,3123899,3134693,3145711
"Kansas, Kansas, West North Central, Midwest, United States",Kansas,2893957,2904021,2911641,2907289,2913123
"Kentucky, Kentucky, East South Central, South, United States",Kentucky,4395295,4413457,4425092,4436974,4454189
"Louisiana, Louisiana, West South Central, South, United States",Louisiana,4625470,4649676,4670724,4681666,4684333
"Maine, Maine, New England, Northeast, United States",Maine,1328302,1330089,1329328,1331479,1335907
"Maryland, Maryland, South Atlantic, South, United States",Maryland,5928814,5976407,6006401,6016447,6052177
"Massachusetts, Massachusetts, New England, Northeast, United States",Massachusetts,6692824,6745408,6794422,6811779,6859819
"Michigan, Michigan, East North Central, Midwest, United States",Michigan,9895622,9909877,9922576,9928300,9962311
"Minnesota, Minnesota, West North Central, Midwest, United States",Minnesota,5420380,5457173,5489594,5519952,5576606
"Mississippi, Mississippi, East South Central, South, United States",Mississippi,2991207,2994079,2992333,2988726,2984100
"Missouri, Missouri, West North Central, Midwest, United States",Missouri,6044171,6063589,6083672,6093000,6113532
"Montana, Montana, Mountain, West, United States",Montana,1015165,1023579,1032949,1042520,1050493
"Nebraska, Nebraska, West North Central, Midwest, United States",Nebraska,1868516,1881503,1896190,1907116,1920076
"Nevada, Nevada, Mountain, West, United States",Nevada,2790136,2839099,2890845,2940058,2998039
"New Hampshire, New Hampshire, New England, Northeast, United States",New Hampshire,1323459,1326813,1330608,1334795,1342795
"New Jersey, New Jersey, Middle Atlantic, Northeast, United States",New Jersey,8899339,8938175,8958013,8944469,9005644
"New Mexico, New Mexico, Mountain, West, United States",New Mexico,2085287,2085572,2085109,2081015,2088070
"New York, New York, Middle Atlantic, Northeast, United States",New York,19651127,19746227,19795791,19745289,19849399
"North Carolina, North Carolina, South Atlantic, South, United States",North Carolina,9848060,9943964,10042802,10146788,10273419
"North Dakota, North Dakota, West North Central, Midwest, United States",North Dakota,723393,739482,756927,757952,755393
"Ohio, Ohio, East North Central, Midwest, United States",Ohio,11570808,11594163,11613423,11614373,11658609
"Oklahoma, Oklahoma, West South Central, South, United States",Oklahoma,3850568,3878051,3911338,3923561,3930864
"Oregon, Oregon, Pacific, West, United States",Oregon,3930065,3970239,4028977,4093465,4142776
"Pennsylvania, Pennsylvania, Middle Atlantic, Northeast, United States",Pennsylvania,12773801,12787209,12802503,12784227,12805537
"Rhode Island, Rhode Island, New England, Northeast, United States",Rhode Island,1051511,1055173,1056298,1056426,1059639
"South Carolina, South Carolina, South Atlantic, South, United States",South Carolina,4774839,4832482,4896146,4961119,5024369
"South Dakota, South Dakota, West North Central, Midwest, United States",South Dakota,844877,853175,858469,865454,869666
"Tennessee, Tennessee, East South Central, South, United States",Tennessee,6495978,6549352,6600299,6651194,6715984
"Texas, Texas, West South Central, South, United States",Texas,26448193,26956958,27469114,27862596,28304596
"Utah, Utah, Mountain, West, United States",Utah,2900872,2942902,2995919,3051217,3101833
"Vermont, Vermont, New England, Northeast, United States",Vermont,626630,626562,626042,624594,623657
"Virginia, Virginia, South Atlantic, South, United States",Virginia,8260405,8326289,8382993,8411808,8470020
"Washington, Washington, Pacific, West, United States",Washington,6971406,7061530,7170351,7288000,7405743
"West Virginia, West Virginia, South Atlantic, South, United States",West Virginia,1854304,1850326,1844128,1831102,1815857
"Wisconsin, Wisconsin, East North Central, Midwest, United States",Wisconsin,5742713,5757564,5771337,5778708,5795483
"Wyoming, Wyoming, Mountain, West, United States",Wyoming,582658,584153,586107,585501,579315
Puerto Rico,Puerto Rico Commonwealth,3615086,3548397,3474182,3411307,3004279
