State,2018,2017,2016,2015,2014,2013
Alabama,51113,51113,47221,44509,42278,47320
Alaska,72231,72231,75723,75112,67629,72472
Arizona,61125,61125,57100,52248,49254,52611
Arkansas,48829,48829,45907,42798,44922,39376
California,69759,69759,66637,63636,60487,60794
Colorado,74172,74172,70566,66596,60940,67912
Connecticut,72780,72780,75923,72889,70161,69291
Delaware,62318,62318,58046,57756,57522,54091
D.C.,83382,83382,70982,70071,68277,60057
Florida,53681,53681,51176,48825,46140,48532
Georgia,57016,57016,53527,50768,49555,46992
Hawaii,73575,73575,72133,64514,71223,64235
Idaho,60208,60208,56564,51624,53438,48467
Illinois,64609,64609,61386,60413,54916,53937
Indiana,58873,58873,56094,51983,48060,49455
Iowa,63481,63481,59094,60855,57810,60156
Kansas,57872,57872,56810,54865,53444,47820
Kentucky,51348,51348,45369,42387,42786,44879
Louisiana,43903,43903,42196,45922,42406,46425
Maine,51664,51664,50856,50756,51710,54957
Maryland,81084,81084,73760,73594,76165,69353
Massachusetts,73227,73227,72266,67861,63151,62529
Michigan,57700,57700,57091,54203,52005,56567
Minnesota,71920,71920,70218,68730,67244,64324
Mississippi,43441,43441,41099,40037,35521,32338
Missouri,56885,56885,55016,59196,56630,46303
Montana,59087,59087,57075,51395,51102,43201
Nebraska,59619,59619,59374,60474,56870,57623
Nevada,56550,56550,55431,52008,49875,51846
New Hampshire,74801,74801,76260,75675,73397,69099
New Jersey,72997,72997,68468,68357,65243,63754
New Mexico,47855,47855,48451,45119,46686,40166
New York,62447,62447,61437,58005,54310,49966
North Carolina,50343,50343,53764,50797,46784,46337
North Dakota,59886,59886,60184,57415,60730,59152
Ohio,59768,59768,53985,53301,49644,50748
Oklahoma,55006,55006,50943,47077,47199,46162
Oregon,64610,64610,59135,60834,58875,48999
Pennsylvania,63173,63173,60979,60389,55173,55156
Rhode Island,66390,66390,61528,55701,58633,56323
South Carolina,54971,54971,54336,46360,44929,43563
South Dakota,56894,56894,57450,55065,53053,53413
Tennessee,55240,55240,51344,47330,43716,43361
Texas,59295,59295,58146,56473,53875,51406
Utah,71319,71319,67481,66258,63383,61047
Vermont,63805,63805,60837,59494,60708,65513
Virginia,71293,71293,66451,61486,66155,65907
Washington,75418,75418,70310,67243,59068,63922
West Virginia,45392,45392,44354,42824,39552,43069
Wisconsin,63451,63451,59817,55425,58080,51726
Wyoming,57837,57837,57829,60925,55690,67441
