State,Total
Alabama,18.5
Alaska,9.7
Arizona,17.8
Arkansas,13.9
California,15.1
Colorado,10.7
Connecticut,10.9
Delaware,11.2
District of Columbia,23.2
Florida,14.8
Georgia,18.5
Hawaii,10.6
Idaho,12.4
Illinois,13.6
Indiana,16.5
Iowa,13.2
Kansas,11.4
Kentucky,22
Louisiana,21.2
Maine,11.4
Maryland,10.5
Massachusetts,12.1
Michigan,12.7
Minnesota,11
Mississippi,19.1
Missouri,17.5
Montana,10.5
Nebraska,10.5
Nevada,14.5
New Hampshire,5.5
New Jersey,9.9
New Mexico,25.8
New York,17.3
North Carolina,14.7
North Dakota,13.2
Ohio,14.9
Oklahoma,21.2
Oregon,14
Pennsylvania,11.2
Rhode Island,9.3
South Carolina,19.3
South Dakota,13.3
Tennessee,15.5
Texas,16.9
Utah,12.2
Vermont,6.8
Virginia,9.8
Washington,12.2
West Virginia,19.8
Wisconsin,13.5
Wyoming,11.4
