State,Poverty
Alabama,16.2
Alaska,12.6
Arizona,16.1
Arkansas,16.0
California,13.9
Colorado,8.5
Connecticut,9.8
Delaware,11.6
District of Columbia,16.3
Florida,13.0
Georgia,15.4
Hawaii,9.3
Idaho,11.1
Illinois,12.1
Indiana,11.8
Iowa,9.8
Kansas,11.2
Kentucky,15.2
Louisiana,20.2
Maine,12.7
Maryland,7.1
Massachusetts,9.6
Michigan,11.1
Minnesota,8.7
Mississippi,21.1
Missouri,13.0
Montana,11.7
Nebraska,9.6
Nevada,10.1
New Hampshire,6.4
New Jersey,9.4
New Mexico,17.8
New York,11.9
North Carolina,13.6
North Dakota,11.1
Ohio,13.7
Oklahoma,14.6
Oregon,11.8
Pennsylvania,11.1
Rhode Island,11.4
South Carolina,14.1
South Dakota,14.5
Tennessee,14.9
Texas,13.8
Utah,8.6
Vermont,9.6
Virginia,11.4
Washington,11.0
West Virginia,18.0
Wisconsin,10.7
Wyoming,10.9
